Configuration,Term,J,Level (cm-1),Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""""","=""*""","=""7/2""","="" 92919.10""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""7/2""","="" 92976.50""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""11/2""","="" 93096.30""","=""""","=""1.23""","=""                                                                                    ""","="""""
"=""""","=""*""","=""7/2""","="" 93195.03""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""11/2""","="" 93242.39""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""13/2""","="" 93246.19""","=""""","=""1.21?""","=""                                                                                    ""","="""""
"=""""","=""*""","=""7/2""","="" 93463.01""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""9/2""","="" 93503.89""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""5/2""","="" 93546.00""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.11f""","=""2F*""","=""7/2""","="" 93808.12""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""5/2""","="" 93864.57""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""9/2""","="" 93867.22""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""3/2""","="" 93998.52""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""7/2""","="" 94008.96""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""7/2""","="" 94303.58""","=""""","=""1.12""","=""                                                                                    ""","="""""
"=""""","=""*""","=""11/2""","="" 94335.70""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""9/2""","="" 94360.00""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""3/2""","="" 94428.80""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.12f""","=""2F*""","=""7/2""","="" 94579.04""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""3/2""","="" 94823.18""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.13f""","=""2F*""","=""7/2""","="" 95163.35""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""9/2""","="" 95550.55""","=""""","=""""","=""                                                                                    ""","="""""
"=""4f14.14f""","=""2F*""","=""7/2""","="" 95619.7""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""7/2""","="" 95691.32""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""11/2""","="" 95754.30""","=""""","=""0.89?""","=""                                                                                    ""","="""""
"=""""","=""*""","=""11/2""","="" 96382.06""","=""""","=""1.23""","=""                                                                                    ""","="""""
"=""""","=""*""","=""9/2""","="" 96482.44""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""11/2""","="" 96898.03""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""13/2""","="" 97043.28""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""9/2""","="" 97086.51""","=""""","=""""","=""                                                                                    ""","="""""
"=""Yb III (4f14 1S<0>)""","=""Limit""","=""---""","="" 98231.75""","=""0.20""","=""""","=""                                                                                    ""","=""L12907"""
"=""""","=""*""","=""9/2""","="" 98521.73""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""13/2""","="" 98620.02""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""11/2""","="" 98802.66""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""13/2""","="" 98829.49""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""11/2""","="" 99246.37""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""9/2""","="" 99414.42""","=""""","=""""","=""                                                                                    ""","="""""
"=""""","=""*""","=""11/2""","="" 100025.57""","=""""","=""""","=""                                                                                    ""","="""""
