Configuration,Term,J,Level (cm-1),Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""4f13.(2F*<5/2>).5d2.(3P)""","=""3[3/2]*""","=""5/2""","="" 67933.51""","=""""","=""1.17""","=""  72                :    22                                 (2F*<5/2>)(1G) 1[5/2]*  ""","="""""
"=""4f13.(2F*<5/2>).6s.6p.(1P*<1>)""","=""""","=""7/2""","="" 67938.68""","=""""","=""0.960""","=""  30  (5/2,1)       :    24  (2F*<5/2>)5d.6p.(1P*<1>)                               ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(3F*<4>)""","=""""","=""5/2""","="" 68135.00""","=""""","=""1.087""","=""  38  (7/2,4)       :    24                                 (2F*<7/2>)(3D*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).6s.6p.(1P*<1>)""","=""""","=""3/2""","="" 68150.57""","=""""","=""0.928""","=""  32  (5/2,1)       :    20  (2F*<5/2>)5d.6p.(1P*<1>)                               ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(3P*<0>)""","=""""","=""7/2""","="" 68756.04""","=""""","=""1.32""","=""  35  (7/2,0)       :    29                                 (2F*<7/2>)(3D*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<2>)""","=""(5/2,2)""","=""9/2""","="" 68943.65""","=""""","=""0.89""","=""  53                :    18                                 (2F*<7/2>)(3F*<4>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<2>)""","=""(5/2,2)""","=""5/2""","="" 71270.01""","=""""","=""0.91""","=""  33                :    18                                 (2F*<7/2>)(3P*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<2>)""","=""(5/2,2)""","=""7/2""","="" 72202.03""","=""""","=""0.86""","=""  43                :    29                                 (2F*<5/2>)(1D*<2>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<2>)""","=""(5/2,2)""","=""3/2""","="" 73116.71""","=""""","=""0.863""","=""  34                :    23                                 (2F*<5/2>)(3F*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).5d.6p.(3F*<2>)""","=""(5/2,2)""","=""1/2""","="" 75905.77""","=""""","=""1.28""","=""  40                :    20                                 (2F*<7/2>)(1F*<3>)      ""","="""""
"=""4f13.(2F*<5/2>).6s.6p.(1P*<1>)""","=""""","=""5/2""","="" 69079.88""","=""""","=""0.89""","=""  30  (5/2,1)       :    21  (2F*<5/2>)5d.6p.(1P*<1>)                               ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(3P*<0>)""","=""""","=""7/2""","="" 69395.20""","=""""","=""0.94""","=""  25  (7/2,0)       :    21                                 (2F*<7/2>)(3P*<1>)      ""","="""""
"=""4f13.(2F*<7/2>).5d.6p.(3P*<1>)""","=""""","=""5/2""","="" 69607.54""","=""""","=""1.210""","=""  24  (7/2,1)       :    18                                 (2F*<7/2>)(3P*<2>)      ""","="""""
