Level,A_coeff,B_coeff,C_coeff
2S1/2,-0.003500000,0.000000000,0.000000000
2P*1/2,-0.000581000,0.000000000,0.000000000
2P*3/2,-0.000245000,0.001460000,0.000000000
2F*7/2,-0.000240000,0.004762000,0.000000000
2D3/2,-0.000110000,0.000095100,0.000000000
2D5/2,0.000000000,0.001190000,0.000000000
3[3/2]*5/2,-0.000055000,-0.001720000,0.000000000
