Wavelength,LL,LL Parity,LL J,UL,UL Parity,UL J,log gf,gA,CF
,,,,,,,,,
1464.248,21419,(o),3.5,89713,(e),2.5,-2.77,5.39E+06,0.002
1475.153,0,(e),0.5,67790,(o),1.5,-3.78,5.11E+05,-0.1
1495.263,21419,(o),3.5,88297,(e),3.5,-2.71,5.85E+06,0.002
1510.825,0,(e),0.5,66189,(o),1.5,-2.08,2.45E+07,-0.166
1524.527,0,(e),0.5,65594,(o),1.5,-1.98,3.02E+07,-0.137
1534.936,0,(e),0.5,65149,(o),0.5,-2.17,1.95E+07,-0.235
1557.827,0,(e),0.5,64192,(o),1.5,-2.71,5.34E+06,0.024
1569.705,0,(e),0.5,63706,(o),0.5,-2.28,1.44E+07,0.194
1601.223,21419,(o),3.5,83871,(e),4.5,-2.3,1.31E+07,0.077
1626.729,21419,(o),3.5,82892,(e),2.5,-1.34,1.16E+08,0.103
1638.293,27062,(o),0.5,88101,(e),1.5,-3.5,7.74E+05,-0.001
1641.763,0,(e),0.5,60910,(o),1.5,-3.43,9.07E+05,-0.012
1659.085,21419,(o),3.5,81693,(e),3.5,-1.08,2.03E+08,-0.096
1660.071,21419,(o),3.5,81657,(e),2.5,-1.08,2.03E+08,0.174
1669.619,21419,(o),3.5,81313,(e),2.5,-1.08,1.99E+08,0.169
1672.618,21419,(o),3.5,81205,(e),4.5,-2.64,5.50E+06,-0.007
1672.882,0,(e),0.5,59777,(o),1.5,-3.71,4.62E+05,-0.052
1685.12,28758,(o),1.5,88101,(e),1.5,-2.94,2.65E+06,-0.002
1693.797,21419,(o),3.5,80458,(e),3.5,-1.56,6.45E+07,0.17
1704.375,0,(e),0.5,58673,(o),0.5,-2.89,3.00E+06,-0.032
1717.919,21419,(o),3.5,79629,(e),3.5,0.15,3.20E+09,-0.269
1719.266,21419,(o),3.5,79583,(e),2.5,-3.24,1.31E+06,0.01
1719.313,0,(e),0.5,58163,(o),1.5,-2.82,3.43E+06,-0.118
1719.836,31568,(o),2.5,89713,(e),2.5,0.08,2.74E+09,-0.242
1721.992,30224,(o),4.5,88297,(e),3.5,-3.05,2.02E+06,0
1732.84,30392,(o),1.5,88101,(e),1.5,-3.49,7.18E+05,0.001
1732.86,21419,(o),3.5,79127,(e),4.5,-1.79,3.58E+07,-0.095
1742.278,21419,(o),3.5,78815,(e),2.5,-1.93,2.60E+07,0.059
1743.92,32371,(o),2.5,89713,(e),2.5,-2.21,1.38E+07,-0.004
1755.072,0,(e),0.5,56978,(o),0.5,-3.8,3.42E+05,0.102
1759.323,0,(e),0.5,56840,(o),1.5,-2.58,5.61E+06,0.147
1762.782,31568,(o),2.5,88297,(e),3.5,0.2,3.43E+09,0.29
1765.18,21419,(o),3.5,78070,(e),4.5,0.2,3.40E+09,-0.301
1768.882,31568,(o),2.5,88101,(e),1.5,-0.06,1.83E+09,0.27
1771.062,21419,(o),3.5,77882,(e),3.5,-1.32,1.01E+08,-0.148
1775.296,21419,(o),3.5,77747,(e),4.5,-0.43,7.97E+08,0.268
1778.774,33495,(o),3.5,89713,(e),2.5,-3.66,4.66E+05,0
1779.745,21419,(o),3.5,77607,(e),2.5,-0.34,9.59E+08,-0.287
1784.74,21419,(o),3.5,77449,(e),3.5,-1.79,3.40E+07,0.095
1788.093,32371,(o),2.5,88297,(e),3.5,-1.9,2.63E+07,0.031
1794.371,32371,(o),2.5,88101,(e),1.5,-2.1,1.62E+07,0.007
1804.395,21419,(o),3.5,76839,(e),2.5,-0.99,2.12E+08,-0.264
1807.104,27062,(o),0.5,82399,(e),1.5,-2.3,1.02E+07,0.007
1807.553,34390,(o),2.5,89713,(e),2.5,-3.32,9.90E+05,0
1809.707,21419,(o),3.5,76676,(e),2.5,-0.58,5.33E+08,0.208
1810.141,33052,(o),4.5,88297,(e),3.5,-3.74,3.68E+05,0
1810.89,0,(e),0.5,55221,(o),1.5,-1.85,2.87E+07,-0.235
1813.638,34575,(o),1.5,89713,(e),2.5,-3.19,1.32E+06,0.001
1814.245,32982,(o),1.5,88101,(e),1.5,-2.97,2.15E+06,0.001
1817.207,27062,(o),0.5,82091,(e),0.5,-1.43,7.58E+07,0.044
1821.336,21419,(o),3.5,76323,(e),3.5,-1.87,2.72E+07,0.065
1821.556,26759,(o),2.5,81657,(e),2.5,-3.92,2.44E+05,0.001
1824.754,33495,(o),3.5,88297,(e),3.5,-3.6,5.06E+05,0
1826.434,21419,(o),3.5,76170,(e),2.5,-1.08,1.66E+08,0.2
1836.52,27062,(o),0.5,81513,(e),1.5,-3.37,8.37E+05,0.002
1836.645,33654,(o),0.5,88101,(e),1.5,-2.22,1.18E+07,0.005
1844.293,21419,(o),3.5,75640,(e),3.5,-2.83,2.92E+06,-0.012
1847.33,21419,(o),3.5,75551,(e),2.5,-1.08,1.63E+08,-0.199
1855.052,34390,(o),2.5,88297,(e),3.5,-2.31,9.43E+06,0.008
1861.809,34390,(o),2.5,88101,(e),1.5,-2.5,6.06E+06,0.002
1864.246,28758,(o),1.5,82399,(e),1.5,-1.96,2.08E+07,-0.01
1864.303,21419,(o),3.5,75058,(e),2.5,-2.27,1.03E+07,0.088
1867.251,21419,(o),3.5,74973,(e),3.5,-1.73,3.54E+07,0.087
1868.266,34575,(o),1.5,88101,(e),1.5,-2.65,4.26E+06,0.002
1875,28758,(o),1.5,82091,(e),0.5,-3.49,6.14E+05,0
1876.966,35019,(o),4.5,88297,(e),3.5,-3.97,2.03E+05,0
1881.474,21419,(o),3.5,74569,(e),4.5,-3.08,1.56E+06,-0.005
1881.838,30224,(o),4.5,83364,(e),3.5,-3.74,3.40E+05,0
1887.228,0,(e),0.5,52988,(o),1.5,-2.13,1.39E+07,0.153
1891.443,26759,(o),2.5,79629,(e),3.5,-2.84,2.72E+06,0.013
1892.086,21419,(o),3.5,74270,(e),2.5,-1.73,3.44E+07,-0.129
1893.988,27062,(o),0.5,79860,(e),0.5,-2.6,4.72E+06,0.019
1895.568,28758,(o),1.5,81513,(e),1.5,-2.88,2.42E+06,-0.005
1899.856,37078,(o),2.5,89713,(e),2.5,-2.54,5.39E+06,-0.001
1902.78,28758,(o),1.5,81313,(e),2.5,-3.2,1.16E+06,0.001
1903.02,21419,(o),3.5,73967,(e),3.5,-1.92,2.21E+07,-0.047
1903.162,27062,(o),0.5,79606,(e),1.5,-1.78,3.03E+07,0.075
1904.778,30392,(o),1.5,82892,(e),2.5,-2.52,5.54E+06,-0.002
1910.871,21419,(o),3.5,73751,(e),4.5,-0.72,3.50E+08,-0.243
1915.834,37517,(o),3.5,89713,(e),2.5,-3.58,4.82E+05,0
1920.57,0,(e),0.5,52068,(o),0.5,-2.53,5.34E+06,-0.096
1921.014,26759,(o),2.5,78815,(e),2.5,-3.82,2.70E+05,0.001
1922.827,30392,(o),1.5,82399,(e),1.5,-1.05,1.58E+08,0.065
1928.097,21419,(o),3.5,73283,(e),4.5,-0.95,2.01E+08,-0.234
1930.658,31568,(o),2.5,83364,(e),3.5,-0.79,2.87E+08,-0.172
1934.021,26759,(o),2.5,78465,(e),1.5,-3.99,1.82E+05,0
1934.27,30392,(o),1.5,82091,(e),0.5,-2,1.77E+07,-0.007
1942.933,30224,(o),4.5,81693,(e),3.5,-3.62,4.24E+05,0
1945.414,27062,(o),0.5,78465,(e),1.5,-1.67,3.76E+07,0.095
1946.993,21419,(o),3.5,72780,(e),3.5,-2.11,1.36E+07,-0.03
1948.417,31568,(o),2.5,82892,(e),2.5,-1.89,2.30E+07,0.05
1950.652,30392,(o),1.5,81657,(e),2.5,-3.69,3.56E+05,0
1952.4,37078,(o),2.5,88297,(e),3.5,-2.08,1.46E+07,0.013
1956.066,26759,(o),2.5,77882,(e),3.5,-3.5,5.54E+05,0.002
1956.167,30392,(o),1.5,81513,(e),1.5,-1.86,2.42E+07,0.057
1959.887,37078,(o),2.5,88101,(e),1.5,-2.44,6.25E+06,0.002
1961.062,32371,(o),2.5,83364,(e),3.5,-3.06,1.53E+06,-0.001
1966.647,28758,(o),1.5,79606,(e),1.5,-2,1.72E+07,-0.013
1966.663,26759,(o),2.5,77607,(e),2.5,-3.17,1.16E+06,-0.001
1967.24,0,(e),0.5,50833,(o),1.5,-3.22,1.03E+06,-0.062
1967.307,31568,(o),2.5,82399,(e),1.5,-2.55,4.80E+06,-0.02
1967.517,27062,(o),0.5,77887,(e),0.5,-2.28,8.96E+06,0.049
1967.531,28758,(o),1.5,79583,(e),2.5,-3.92,2.08E+05,0.001
1969.152,21419,(o),3.5,72202,(e),3.5,-2.86,2.38E+06,-0.005
1969.279,37517,(o),3.5,88297,(e),3.5,-2.82,2.61E+06,-0.001
1972.764,26759,(o),2.5,77449,(e),3.5,-3.51,5.26E+05,0
1974.627,30563,(o),5.5,81205,(e),4.5,-3.62,4.14E+05,0
1979.387,32371,(o),2.5,82892,(e),2.5,-2.92,2.04E+06,-0.001
1985.059,33495,(o),3.5,83871,(e),4.5,-3.97,1.81E+05,0
1990.708,30224,(o),4.5,80458,(e),3.5,-3.65,3.81E+05,0
1991.151,27062,(o),0.5,77284,(e),1.5,-0.71,3.33E+08,-0.14
1995.019,31568,(o),2.5,81693,(e),3.5,-1.06,1.47E+08,-0.197
1996.444,31568,(o),2.5,81657,(e),2.5,-2.06,1.47E+07,0.042
1998.004,21419,(o),3.5,71469,(e),2.5,-1.99,1.72E+07,-0.06
1998.885,32371,(o),2.5,82399,(e),1.5,-3.45,5.85E+05,0
2001.17,38342,(o),4.5,88297,(e),3.5,-2.59,4.31E+06,-0.001
2001.572,31568,(o),2.5,81513,(e),1.5,-1.44,6.04E+07,0.183
2002.665,26759,(o),2.5,76676,(e),2.5,-3.42,6.33E+05,0.002
2002.949,32982,(o),1.5,82892,(e),2.5,-2.99,1.68E+06,0.001
2004.597,33495,(o),3.5,83364,(e),3.5,-3.48,5.44E+05,0
2005.318,21419,(o),3.5,71270,(e),2.5,-2.07,1.42E+07,0.043
2007.237,21419,(o),3.5,71222,(e),3.5,-1.84,2.42E+07,0.033
2009.62,31568,(o),2.5,81313,(e),2.5,-1.74,3.05E+07,-0.036
2009.916,27062,(o),0.5,76799,(e),1.5,-2.13,1.22E+07,-0.071
2010.895,31980,(o),3.5,81693,(e),3.5,-2.85,2.33E+06,-0.001
2011.148,28758,(o),1.5,78465,(e),1.5,-2.11,1.29E+07,-0.006
2012.34,40036,(o),3.5,89713,(e),2.5,-2.5,5.22E+06,-0.003
2012.344,31980,(o),3.5,81657,(e),2.5,-3.86,2.27E+05,0
2018.102,21419,(o),3.5,70954,(e),2.5,-0.82,2.45E+08,0.162
2020.848,30392,(o),1.5,79860,(e),0.5,-3.47,5.52E+05,-0.001
2021.372,27062,(o),0.5,76517,(e),1.5,-0.87,2.19E+08,-0.126
2022.025,21419,(o),3.5,70858,(e),4.5,-0.89,2.09E+08,-0.255
2022.856,0,(e),0.5,49419,(o),0.5,-3.37,7.09E+05,0.083
2022.927,32982,(o),1.5,82399,(e),1.5,-1.96,1.76E+07,0.012
2023.179,26759,(o),2.5,76170,(e),2.5,-3.54,4.67E+05,0
2023.46,30224,(o),4.5,79629,(e),3.5,-2.7,3.27E+06,-0.002
2026.398,31980,(o),3.5,81313,(e),2.5,-3.58,4.27E+05,0
2026.847,32371,(o),2.5,81693,(e),3.5,-3.42,6.27E+05,0
2031.3,30392,(o),1.5,79606,(e),1.5,-1.05,1.43E+08,0.152
2032.243,30392,(o),1.5,79583,(e),2.5,-3.42,6.05E+05,0.003
2034.79,28758,(o),1.5,77887,(e),0.5,-3.7,3.19E+05,0
2035.602,32982,(o),1.5,82091,(e),0.5,-3.32,7.65E+05,0.002
2036.584,34785,(o),5.5,83871,(e),4.5,-2.28,8.49E+06,0.019
2041.239,34390,(o),2.5,83364,(e),3.5,-3.14,1.16E+06,0
2042.598,32371,(o),2.5,81313,(e),2.5,-2.49,5.17E+06,-0.001
2044.767,31568,(o),2.5,80458,(e),3.5,-2.01,1.56E+07,-0.042
2046.348,35019,(o),4.5,83871,(e),4.5,-3.95,1.79E+05,0
2046.485,28758,(o),1.5,77607,(e),2.5,-2.18,1.06E+07,-0.005
2046.68,27062,(o),0.5,75906,(e),0.5,-1.18,1.06E+08,0.075
2049.789,30563,(o),5.5,79333,(e),5.5,-3.73,2.99E+05,0
2050.83,33654,(o),0.5,82399,(e),1.5,-2.84,2.30E+06,-0.002
2051.801,39379,(o),0.5,88101,(e),1.5,-1.56,4.35E+07,-0.039
2053.762,32982,(o),1.5,81657,(e),2.5,-3.3,7.93E+05,0.001
2055.236,33052,(o),4.5,81693,(e),3.5,-3.62,3.78E+05,0
2058.478,30563,(o),5.5,79127,(e),4.5,-3.09,1.27E+06,-0.013
2059.551,21419,(o),3.5,69957,(e),4.5,-2.17,1.06E+07,-0.048
2059.878,32982,(o),1.5,81513,(e),1.5,-3.21,9.61E+05,0.001
2060.09,28758,(o),1.5,77284,(e),1.5,-2.93,1.84E+06,0.002
2061.11,34390,(o),2.5,82892,(e),2.5,-2.38,6.49E+06,0.003
2064.49,30392,(o),1.5,78815,(e),2.5,-2.96,1.72E+06,-0.002
2067.816,35019,(o),4.5,83364,(e),3.5,-3.22,9.39E+05,-0.001
2068.402,32982,(o),1.5,81313,(e),2.5,-2.94,1.77E+06,0.001
2069.029,34575,(o),1.5,82892,(e),2.5,-2.83,2.34E+06,-0.001
2071.415,40036,(o),3.5,88297,(e),3.5,-3.47,5.30E+05,0
2072.636,26759,(o),2.5,74991,(e),1.5,-3.32,7.30E+05,-0.001
2073.408,26759,(o),2.5,74973,(e),3.5,-2.99,1.57E+06,-0.004
2074.103,33495,(o),3.5,81693,(e),3.5,-3.7,3.12E+05,0
2074.51,21419,(o),3.5,69608,(e),2.5,-2.17,1.06E+07,-0.021
2076.053,33052,(o),4.5,81205,(e),4.5,-3.82,2.37E+05,0
2078.918,32371,(o),2.5,80458,(e),3.5,-3.59,3.96E+05,-0.001
2079.16,28758,(o),1.5,76839,(e),2.5,-1.89,2.01E+07,0.037
2079.527,30392,(o),1.5,78465,(e),1.5,-1.27,8.32E+07,0.067
2080.042,31568,(o),2.5,79629,(e),3.5,-1.98,1.62E+07,0.011
2080.888,28758,(o),1.5,76799,(e),1.5,-2.89,1.95E+06,0.002
2080.965,35832,(o),5.5,83871,(e),4.5,-2.46,5.39E+06,-0.014
2081.028,31568,(o),2.5,79606,(e),1.5,-2.71,2.96E+06,-0.015
2082.018,31568,(o),2.5,79583,(e),2.5,-1.22,9.23E+07,-0.179
2082.27,34390,(o),2.5,82399,(e),1.5,-3.33,7.22E+05,0.001
2083.692,21419,(o),3.5,69395,(e),3.5,-1.33,7.24E+07,-0.195
2085.732,27062,(o),0.5,74991,(e),1.5,-2.09,1.24E+07,-0.026
2085.814,27062,(o),0.5,74989,(e),0.5,-2.36,6.67E+06,-0.059
2086.22,28758,(o),1.5,76676,(e),2.5,-1.4,6.15E+07,0.031
2088.817,33654,(o),0.5,81513,(e),1.5,-3.41,5.92E+05,-0.001
2089.951,35059,(o),3.5,82892,(e),2.5,-2.8,2.45E+06,0.001
2090.353,34575,(o),1.5,82399,(e),1.5,-2.06,1.31E+07,0.008
2090.599,33495,(o),3.5,81313,(e),2.5,-2.8,2.42E+06,-0.001
2093.171,28758,(o),1.5,76517,(e),1.5,-2.01,1.48E+07,-0.024
2095.723,31632,(o),6.5,79333,(e),5.5,-2.52,4.66E+06,-0.113
2097.48,21419,(o),3.5,69080,(e),2.5,-1.76,2.64E+07,0.03
2097.63,30224,(o),4.5,77882,(e),3.5,-3.64,3.46E+05,0
2098.022,31980,(o),3.5,79629,(e),3.5,-3.47,5.22E+05,-0.001
2103.493,21419,(o),3.5,68944,(e),4.5,-2.64,3.42E+06,-0.078
2103.574,30224,(o),4.5,77747,(e),4.5,-2.97,1.61E+06,-0.001
2103.889,34575,(o),1.5,82091,(e),0.5,-3.09,1.23E+06,-0.001
2104.088,26759,(o),2.5,74270,(e),2.5,-3.9,1.87E+05,0
2104.268,30563,(o),5.5,78070,(e),4.5,-2.06,1.32E+07,-0.006
2104.814,30392,(o),1.5,77887,(e),0.5,-2.62,3.64E+06,-0.015
2108.49,28758,(o),1.5,76170,(e),2.5,-1.85,2.12E+07,0.01
2109.985,40918,(o),4.5,88297,(e),3.5,-2.93,1.75E+06,0
2111.83,21419,(o),3.5,68756,(e),3.5,-2.24,8.57E+06,-0.039
2114.955,34390,(o),2.5,81657,(e),2.5,-2.22,8.96E+06,0.004
2115.392,32371,(o),2.5,79629,(e),3.5,-3.29,7.80E+05,0.001
2115.877,31568,(o),2.5,78815,(e),2.5,-1.27,8.07E+07,-0.144
2116.411,32371,(o),2.5,79606,(e),1.5,-3.57,4.01E+05,0
2116.675,0,(e),0.5,47229,(o),0.5,-1.34,6.82E+07,0.313
2117.33,30392,(o),1.5,77607,(e),2.5,-1.44,5.32E+07,-0.077
2117.435,32371,(o),2.5,79583,(e),2.5,-3.61,3.66E+05,0
2118.665,30563,(o),5.5,77747,(e),4.5,-2.7,2.96E+06,0
2120.32,28758,(o),1.5,75906,(e),0.5,-2.29,7.63E+06,0.009
2121.098,21419,(o),3.5,68549,(e),4.5,-1.88,1.95E+07,-0.083
2123.294,34575,(o),1.5,81657,(e),2.5,-2.15,1.05E+07,-0.01
2125.569,21419,(o),3.5,68450,(e),3.5,-0.97,1.60E+08,0.178
2126.741,0,(e),0.5,47005,(o),1.5,-0.86,2.05E+08,-0.373
2129.831,34575,(o),1.5,81513,(e),1.5,-2.43,5.40E+06,0.014
2130.483,34390,(o),2.5,81313,(e),2.5,-2.44,5.28E+06,0.001
2131.4,0,(e),0.5,46903,(o),0.5,-0.96,1.61E+08,0.327
2131.602,26759,(o),2.5,73657,(e),1.5,-3.54,4.26E+05,0
2131.674,31568,(o),2.5,78465,(e),1.5,-1.6,3.69E+07,-0.136
2131.897,30392,(o),1.5,77284,(e),1.5,-2.32,7.03E+06,-0.006
2136.4,28758,(o),1.5,75551,(e),2.5,-2.67,3.14E+06,-0.002
2138.945,34575,(o),1.5,81313,(e),2.5,-2.57,3.93E+06,-0.002
2139.908,21419,(o),3.5,68135,(e),2.5,-3.54,4.23E+05,0.004
2141.855,35019,(o),4.5,81693,(e),3.5,-3.61,3.55E+05,0
2143.495,43075,(o),1.5,89713,(e),2.5,-3.12,1.11E+06,0.003
2143.687,35059,(o),3.5,81693,(e),3.5,-2.49,4.77E+06,0.001
2144.126,32982,(o),1.5,79606,(e),1.5,-2.31,7.09E+06,0.007
2144.425,41679,(o),2.5,88297,(e),3.5,-3.11,1.11E+06,0.004
2145.177,32982,(o),1.5,79583,(e),2.5,-3.11,1.11E+06,0.002
2145.456,27062,(o),0.5,73657,(e),1.5,-3.62,3.48E+05,0.001
2146.333,33052,(o),4.5,79629,(e),3.5,-2.46,5.02E+06,0.003
2146.398,27062,(o),0.5,73637,(e),0.5,-1.69,2.92E+07,0.193
2148.94,21419,(o),3.5,67939,(e),3.5,-1.17,9.79E+07,-0.048
2152.325,30392,(o),1.5,76839,(e),2.5,-0.33,6.81E+08,-0.544
2152.465,32371,(o),2.5,78815,(e),2.5,-2.84,2.10E+06,-0.001
2153.552,34785,(o),5.5,81205,(e),4.5,-2.13,1.08E+07,-0.005
2153.915,41688,(o),1.5,88101,(e),1.5,-3.58,3.73E+05,0
2154.177,30392,(o),1.5,76799,(e),1.5,-1.97,1.53E+07,-0.04
2158.498,31568,(o),2.5,77882,(e),3.5,-2.12,1.09E+07,0.032
2159.143,28758,(o),1.5,75058,(e),2.5,-3.25,8.03E+05,0.006
2159.891,30392,(o),1.5,76676,(e),2.5,-1.84,2.07E+07,-0.01
2160.065,33052,(o),4.5,79333,(e),5.5,-3.76,2.48E+05,0
2161.313,35059,(o),3.5,81313,(e),2.5,-3.61,3.52E+05,0
2162.26,28758,(o),1.5,74991,(e),1.5,-2.56,3.92E+06,0.004
2164.472,35019,(o),4.5,81205,(e),4.5,-3.37,6.08E+05,0
2166.917,33495,(o),3.5,79629,(e),3.5,-2.29,7.41E+06,-0.002
2167.342,30392,(o),1.5,76517,(e),1.5,-1.02,1.35E+08,0.187
2168.557,30224,(o),4.5,76323,(e),3.5,-2.28,7.50E+06,0.003
2168.815,32371,(o),2.5,78465,(e),1.5,-2.89,1.85E+06,-0.001
2168.974,31980,(o),3.5,78070,(e),4.5,-2.26,7.74E+06,0.021
2169.061,33495,(o),3.5,79583,(e),2.5,-3.64,3.25E+05,0
2169.128,30563,(o),5.5,76650,(e),5.5,-3.55,4.02E+05,0
2170.026,34390,(o),2.5,80458,(e),3.5,-3.66,3.09E+05,0
2170.641,27062,(o),0.5,73117,(e),1.5,-3.73,2.62E+05,0.001
2171.414,31568,(o),2.5,77607,(e),2.5,-2.29,7.22E+06,0.008
2172.241,26759,(o),2.5,72780,(e),3.5,-2.95,1.58E+06,-0.013
2173.36,21419,(o),3.5,67416,(e),4.5,-1.46,4.88E+07,-0.183
2175.44,30563,(o),5.5,76516,(e),4.5,-3.32,6.69E+05,-0.002
2175.498,33654,(o),0.5,79606,(e),1.5,-2.43,5.21E+06,-0.007
2177.865,31980,(o),3.5,77882,(e),3.5,-3.41,5.43E+05,0
2178.241,34785,(o),5.5,80679,(e),5.5,-3.81,2.20E+05,0
2178.858,31568,(o),2.5,77449,(e),3.5,-1.49,4.61E+07,-0.11
2181.138,32982,(o),1.5,78815,(e),2.5,-3.65,3.13E+05,0
2182.046,37078,(o),2.5,82892,(e),2.5,-1.73,2.64E+07,-0.009
2183.771,30392,(o),1.5,76170,(e),2.5,-2.87,1.91E+06,0.003
2184.786,43956,(o),2.5,89713,(e),2.5,-2.55,4.03E+06,-0.002
2185.716,0,(e),0.5,45737,(o),1.5,-0.99,1.41E+08,0.377
2186.737,31568,(o),2.5,77284,(e),1.5,-2.37,5.90E+06,0.043
2188.898,30563,(o),5.5,76234,(e),6.5,-3.9,1.76E+05,0
2189.414,35019,(o),4.5,80679,(e),5.5,-3.98,1.45E+05,0
2190.752,33495,(o),3.5,79127,(e),4.5,-3.58,3.63E+05,0
2191.015,31980,(o),3.5,77607,(e),2.5,-3.51,4.31E+05,0
2195.717,38342,(o),4.5,83871,(e),4.5,-3,1.41E+06,-0.001
2196.462,30392,(o),1.5,75906,(e),0.5,-1.26,7.65E+07,-0.058
2196.512,28758,(o),1.5,74270,(e),2.5,-2.42,5.26E+06,-0.005
2196.588,32371,(o),2.5,77882,(e),3.5,-3.18,9.08E+05,0
2197.929,32982,(o),1.5,78465,(e),1.5,-3.25,7.66E+05,0
2198.594,31980,(o),3.5,77449,(e),3.5,-3.15,9.79E+05,-0.001
2199.872,26759,(o),2.5,72202,(e),3.5,-3.77,2.32E+05,0.007
2200.086,35019,(o),4.5,80458,(e),3.5,-2.8,2.19E+06,-0.001
2201.193,30224,(o),4.5,75640,(e),3.5,-2.1,1.08E+07,0.005
2202.018,35059,(o),3.5,80458,(e),3.5,-3.48,4.51E+05,0
2203.159,37517,(o),3.5,82892,(e),2.5,-2.12,1.05E+07,0.004
2203.238,35832,(o),5.5,81205,(e),4.5,-3.46,4.80E+05,0
2205.776,37078,(o),2.5,82399,(e),1.5,-3.96,1.48E+05,0
2207.544,34575,(o),1.5,79860,(e),0.5,-3.63,3.22E+05,-0.001
2208.029,44438,(o),3.5,89713,(e),2.5,-2.3,6.99E+06,-0.003
2208.235,31568,(o),2.5,76839,(e),2.5,-1.69,2.81E+07,-0.209
2209.796,34390,(o),2.5,79629,(e),3.5,-2.05,1.22E+07,0.008
2209.965,32371,(o),2.5,77607,(e),2.5,-3.37,5.77E+05,0
2210.185,31568,(o),2.5,76799,(e),1.5,-1.63,3.15E+07,-0.103
2210.908,34390,(o),2.5,79606,(e),1.5,-2.84,1.97E+06,0.001
2210.934,44498,(o),2.5,89713,(e),2.5,-2.95,1.56E+06,-0.001
2213.722,30392,(o),1.5,75551,(e),2.5,-2.47,4.62E+06,-0.009
2214.677,21419,(o),3.5,66558,(e),3.5,-1.14,9.83E+07,-0.282
2216.2,31568,(o),2.5,76676,(e),2.5,-0.98,1.42E+08,0.223
2216.941,43008,(o),0.5,88101,(e),1.5,-1.19,8.68E+07,0.16
2217.676,32371,(o),2.5,77449,(e),3.5,-3.06,1.18E+06,0
2220.022,34575,(o),1.5,79606,(e),1.5,-1.66,2.97E+07,0.032
2220.255,43075,(o),1.5,88101,(e),1.5,-3.28,7.05E+05,0.001
2220.452,38342,(o),4.5,83364,(e),3.5,-2.53,3.95E+06,0.002
2220.632,31632,(o),6.5,76650,(e),5.5,-1.93,1.59E+07,-0.053
2220.647,33052,(o),4.5,78070,(e),4.5,-2.06,1.19E+07,-0.008
2221.149,34575,(o),1.5,79583,(e),2.5,-3.06,1.18E+06,0.005
2222.668,21419,(o),3.5,66396,(e),2.5,-3.96,1.49E+05,-0.001
2224.045,31568,(o),2.5,76517,(e),1.5,-1.72,2.57E+07,-0.188
2224.467,0,(e),0.5,44941,(o),1.5,-0.7,2.69E+08,0.377
2224.87,21419,(o),3.5,66351,(e),2.5,-1.54,3.91E+07,0.227
2225.838,32371,(o),2.5,77284,(e),1.5,-2.43,5.02E+06,0.007
2226.196,32982,(o),1.5,77887,(e),0.5,-3.46,4.67E+05,-0.001
2226.513,28758,(o),1.5,73657,(e),1.5,-2.74,2.43E+06,-0.002
2227.528,28758,(o),1.5,73637,(e),0.5,-2.5,4.21E+06,0.007
2228.509,31980,(o),3.5,76839,(e),2.5,-3.53,3.96E+05,0.001
2229.086,35832,(o),5.5,80679,(e),5.5,-2.84,1.95E+06,0.001
2230.016,22961,(e),1.5,67790,(o),1.5,-3.57,3.59E+05,0.008
2230.906,33654,(o),0.5,78465,(e),1.5,-2.43,4.99E+06,0.005
2232.817,44941,(o),1.5,89713,(e),2.5,-1.62,3.27E+07,-0.029
2233.673,31568,(o),2.5,76323,(e),3.5,-1.88,1.76E+07,0.075
2236.423,45013,(o),2.5,89713,(e),2.5,-2.73,2.51E+06,-0.004
2236.621,31980,(o),3.5,76676,(e),2.5,-3.11,1.04E+06,-0.001
2236.687,33052,(o),4.5,77747,(e),4.5,-3.28,7.05E+05,-0.001
2238.15,30392,(o),1.5,75058,(e),2.5,-3.25,7.51E+05,0.009
2240.201,32982,(o),1.5,77607,(e),2.5,-1.94,1.52E+07,-0.014
2240.687,37078,(o),2.5,81693,(e),3.5,-1.87,1.78E+07,-0.013
2240.975,35019,(o),4.5,79629,(e),3.5,-3.97,1.44E+05,0
2241.348,31568,(o),2.5,76170,(e),2.5,-2.4,5.31E+06,-0.014
2241.356,31632,(o),6.5,76234,(e),6.5,-3.1,1.06E+06,0.002
2241.5,30392,(o),1.5,74991,(e),1.5,-1.88,1.76E+07,-0.039
2241.594,30392,(o),1.5,74989,(e),0.5,-2.96,1.44E+06,0.006
2242.486,37078,(o),2.5,81657,(e),2.5,-1.58,3.50E+07,-0.02
2242.98,35059,(o),3.5,79629,(e),3.5,-1.76,2.35E+07,0.006
2244.088,34785,(o),5.5,79333,(e),5.5,-2.61,3.30E+06,0.003
2244.87,21419,(o),3.5,65951,(e),4.5,-2.06,1.16E+07,-0.085
2245.278,35059,(o),3.5,79583,(e),2.5,-3.02,1.25E+06,-0.001
2248.116,32371,(o),2.5,76839,(e),2.5,-3.86,1.84E+05,0
2248.347,26759,(o),2.5,71222,(e),3.5,-2.21,8.11E+06,-0.026
2250.282,34390,(o),2.5,78815,(e),2.5,-3.08,1.09E+06,0
2251.705,33052,(o),4.5,77449,(e),3.5,-3.28,6.98E+05,0.001
2252.196,33495,(o),3.5,77882,(e),3.5,-3.1,1.05E+06,0
2253.649,28758,(o),1.5,73117,(e),1.5,-3.23,7.79E+05,-0.001
2254.385,30224,(o),4.5,74569,(e),4.5,-3.26,7.21E+05,0
