Wavelength,LL,LL Parity,LL J,UL,UL Parity,UL J,log gf,gA,CF
5819.999,48900,(e),3.5,66078,(o),3.5,-2.12,1.50E+06,0.027
5820.836,57799,(o),2.5,74973,(e),3.5,-2.25,1.12E+06,0.007
5823.359,57103,(o),3.5,74270,(e),2.5,-2.04,1.81E+06,0.014
5824.339,47759,(o),3.5,64923,(e),4.5,-1.26,1.05E+07,0.085
5825.446,45013,(o),2.5,62174,(e),1.5,-3.82,2.95E+04,0.033
5826.566,66206,(o),2.5,83364,(e),3.5,-3.07,1.65E+05,0.001
5827.412,58485,(o),4.5,75640,(e),3.5,-3.36,8.55E+04,0.001
5828.496,65739,(o),2.5,82892,(e),2.5,-1.73,3.75E+06,-0.012
5831.039,41679,(o),2.5,58824,(e),2.5,-1.93,2.29E+06,-0.011
5831.579,64169,(o),3.5,81313,(e),2.5,-1.37,8.54E+06,-0.02
5835.535,47329,(o),2.5,64461,(e),1.5,-1.48,6.44E+06,0.056
5836.179,56621,(o),5.5,73751,(e),4.5,-0.91,2.40E+07,-0.11
5836.366,45430,(o),3.5,62559,(e),2.5,-3.58,5.15E+04,0.006
5837.136,32371,(o),2.5,49498,(e),2.5,-0.68,4.13E+07,0.239
5838.623,50833,(o),1.5,67955,(e),0.5,-1.06,1.76E+07,0.183
5839.271,64192,(o),1.5,81313,(e),2.5,-1.96,2.27E+06,-0.033
5847.174,60650,(o),4.5,77747,(e),4.5,-0.46,6.83E+07,-0.235
5848.162,43956,(o),2.5,61051,(e),3.5,-3.19,1.27E+05,0.001
5852.918,62046,(o),3.5,79127,(e),4.5,-1.21,1.19E+07,-0.204
5853.819,59439,(o),2.5,76517,(e),1.5,-1.31,9.49E+06,-0.155
5854.296,52881,(o),4.5,69957,(e),4.5,-1.06,1.71E+07,-0.097
5854.899,66796,(o),3.5,83871,(e),4.5,-1.25,1.11E+07,-0.088
5859.377,59777,(o),1.5,76839,(e),2.5,-2.9,2.52E+05,0.014
5860.109,56057,(o),2.5,73117,(e),1.5,-3.78,3.24E+04,0
5860.58,47912,(e),3.5,64971,(o),3.5,-3.71,3.82E+04,0.002
5862.91,59625,(o),3.5,76676,(e),2.5,-0.94,2.21E+07,-0.128
5863.353,47005,(o),1.5,64056,(e),2.5,-2.65,4.39E+05,-0.004
5865.634,49419,(o),0.5,66463,(e),0.5,-1.19,1.21E+07,-0.207
5866.478,52988,(o),1.5,70029,(e),0.5,-2.41,7.22E+05,-0.009
5866.684,63417,(o),2.5,80458,(e),3.5,-0.96,2.13E+07,0.156
5868.337,64169,(o),3.5,81205,(e),4.5,-0.81,3.03E+07,0.11
5868.341,52922,(o),3.5,69957,(e),4.5,-0.7,3.93E+07,0.179
5868.94,57534,(o),3.5,74569,(e),4.5,-1.22,1.16E+07,0.097
5873.122,59777,(o),1.5,76799,(e),1.5,-1.2,1.22E+07,0.137
5873.626,48557,(o),3.5,65577,(e),3.5,-2.17,1.29E+06,-0.012
5874.644,59632,(o),6.5,76650,(e),5.5,0.2,3.03E+08,-0.816
5882.796,46170,(o),4.5,63164,(e),4.5,-0.68,4.04E+07,0.246
5888.021,58661,(o),2.5,75640,(e),3.5,-1.53,5.79E+06,-0.072
5888.635,60910,(o),1.5,77887,(e),0.5,-2.02,1.91E+06,0.035
5897.211,48923,(o),7.5,65876,(e),6.5,0.24,3.36E+08,-0.982
5898.773,50468,(o),5.5,67416,(e),4.5,-0.09,1.55E+08,0.391
5900.848,49009,(o),3.5,65951,(e),4.5,-1.67,4.01E+06,-0.024
5900.852,65149,(o),0.5,82091,(e),0.5,-2.11,1.45E+06,0.044
5902.786,44438,(o),3.5,61374,(e),2.5,-2.61,4.73E+05,-0.004
5903.378,47664,(o),4.5,64598,(e),3.5,-0.89,2.48E+07,-0.121
5908.35,31980,(o),3.5,48900,(e),3.5,-1.32,9.18E+06,0.173
5914.922,51249,(o),2.5,68151,(e),1.5,-1.57,5.18E+06,0.034
5915.786,59777,(o),1.5,76676,(e),2.5,-1.97,2.07E+06,-0.043
5916.935,59754,(o),5.5,76650,(e),5.5,-2.28,9.93E+05,-0.005
5918.515,59625,(o),3.5,76516,(e),4.5,-3.01,1.88E+05,-0.002
5919.089,58661,(o),2.5,75551,(e),2.5,-1.32,9.40E+06,-0.076
5920.376,51249,(o),2.5,68135,(e),2.5,-0.5,6.07E+07,0.238
5920.983,59439,(o),2.5,76323,(e),3.5,-1.53,5.75E+06,0.045
5923.589,44498,(o),2.5,61374,(e),2.5,-3.92,2.30E+04,0.001
5928.222,57103,(o),3.5,73967,(e),3.5,-1.91,2.33E+06,-0.039
5933.986,40918,(o),4.5,57765,(e),4.5,-2.97,2.01E+05,-0.002
5935.05,49727,(o),6.5,66572,(e),5.5,-0.05,1.69E+08,-0.735
5936.502,64365,(o),4.5,81205,(e),4.5,-1.34,8.83E+06,0.026
5936.689,47759,(o),3.5,64598,(e),3.5,-1.93,2.18E+06,0.01
5936.929,48900,(e),3.5,65739,(o),2.5,-2.96,2.07E+05,-0.008
5939.348,63028,(o),1.5,79860,(e),0.5,-0.94,2.27E+07,0.287
5940.615,58163,(o),1.5,74991,(e),1.5,-2.24,1.08E+06,-0.008
5941.276,58163,(o),1.5,74989,(e),0.5,-1.8,3.01E+06,-0.031
5943.045,45737,(o),1.5,62559,(e),2.5,-0.98,2.01E+07,-0.537
5943.526,48273,(o),2.5,65093,(e),3.5,-0.78,3.17E+07,0.205
5944.628,56840,(o),1.5,73657,(e),1.5,-1.39,7.80E+06,0.058
5945.77,66078,(o),3.5,82892,(e),2.5,-1.52,5.81E+06,-0.015
5946.007,53323,(o),7.5,70136,(e),6.5,0.37,4.45E+08,0.972
5946.775,56481,(o),4.5,73292,(e),5.5,-2.74,3.52E+05,-0.021
5947.266,45013,(o),2.5,61823,(e),3.5,-1.05,1.72E+07,-0.363
5947.461,46355,(o),4.5,63164,(e),4.5,-3.95,2.11E+04,-0.001
5949.004,65594,(o),1.5,82399,(e),1.5,-1.04,1.67E+07,-0.111
5949.818,56481,(o),4.5,73283,(e),4.5,-1.4,7.55E+06,0.081
5950.923,60650,(o),4.5,77449,(e),3.5,-0.03,1.76E+08,0.499
5951.869,56840,(o),1.5,73637,(e),0.5,-3.57,5.05E+04,-0.001
5956.863,56501,(o),3.5,73283,(e),4.5,-1.53,5.47E+06,-0.062
5959.022,44438,(o),3.5,61215,(e),4.5,-2.36,8.20E+05,0.004
5959.025,49301,(e),4.5,66078,(o),3.5,-1.92,2.28E+06,0.053
5961.808,62046,(o),3.5,78815,(e),2.5,-0.5,5.88E+07,0.314
5964.127,59754,(o),5.5,76516,(e),4.5,-1.97,2.03E+06,0.011
5970.271,46903,(o),0.5,63648,(e),1.5,-2.15,1.31E+06,0.014
5972.011,59777,(o),1.5,76517,(e),1.5,-1.46,6.60E+06,-0.256
5972.293,55463,(o),3.5,72202,(e),3.5,-2,1.85E+06,0.009
5973.478,57534,(o),3.5,74270,(e),2.5,-1.26,1.00E+07,0.061
5975.213,59439,(o),2.5,76170,(e),2.5,-2.56,5.20E+05,-0.003
5976.924,47329,(o),2.5,64056,(e),2.5,-2.34,8.43E+05,0.007
5978.104,56057,(o),2.5,72780,(e),3.5,-1.21,1.17E+07,0.049
5978.425,64971,(o),3.5,81693,(e),3.5,-2.99,1.90E+05,-0.001
5985.341,43008,(o),0.5,59711,(e),1.5,-1.19,1.22E+07,0.216
5985.362,66189,(o),1.5,82892,(e),2.5,-1.48,6.19E+06,0.034
5986.785,59625,(o),3.5,76323,(e),3.5,-0.73,3.60E+07,0.138
5987.491,47005,(o),1.5,63702,(e),2.5,-3.08,1.57E+05,0.003
5987.642,60910,(o),1.5,77607,(e),2.5,-2.43,7.00E+05,0.01
5987.9,48504,(o),5.5,65200,(e),4.5,-0.54,5.29E+07,-0.255
5989.378,56088,(o),4.5,72780,(e),3.5,-3.54,5.35E+04,0
5989.418,46170,(o),4.5,62861,(e),5.5,-3.31,8.96E+04,0.001
5990.017,51249,(o),2.5,67939,(e),3.5,-2.26,1.01E+06,0.014
5991.248,64971,(o),3.5,81657,(e),2.5,-0.89,2.34E+07,0.099
5991.414,66206,(o),2.5,82892,(e),2.5,-1.18,1.25E+07,-0.045
5991.417,52922,(o),3.5,69608,(e),2.5,-0.67,3.93E+07,0.15
5991.507,35832,(o),5.5,52517,(e),5.5,-0.59,4.79E+07,-0.58
5993.695,56978,(o),0.5,73657,(e),1.5,-1.21,1.12E+07,-0.349
5996.851,56621,(o),5.5,73292,(e),5.5,-1.99,1.89E+06,-0.009
5998.697,54193,(o),5.5,70858,(e),4.5,-1.33,8.65E+06,-0.041
5999.946,56621,(o),5.5,73283,(e),4.5,-0.94,2.11E+07,-0.075
6000.915,65739,(o),2.5,82399,(e),1.5,-0.89,2.35E+07,0.097
6001.056,56978,(o),0.5,73637,(e),0.5,-1.07,1.51E+07,0.676
6002.511,49917,(o),4.5,66572,(e),5.5,-1.09,1.51E+07,-0.133
6004.004,62164,(o),2.5,78815,(e),2.5,-0.88,2.52E+07,-0.121
6005.108,57103,(o),3.5,73751,(e),4.5,-2.44,6.61E+05,-0.009
6007.132,47005,(o),1.5,63648,(e),1.5,-3.02,1.78E+05,-0.002
6007.41,49917,(o),4.5,66558,(e),3.5,-0.02,1.76E+08,0.598
6008.793,37078,(o),2.5,53715,(e),3.5,-2.58,4.85E+05,-0.007
6009.555,43075,(o),1.5,59711,(e),1.5,-2.12,1.42E+06,-0.015
6011.546,43956,(o),2.5,60586,(e),1.5,-2.59,4.82E+05,0.012
6012.157,47329,(o),2.5,63958,(e),3.5,-2.24,1.05E+06,-0.026
6012.515,61443,(o),5.5,78070,(e),4.5,-0.92,2.23E+07,-0.139
6015.261,52988,(o),1.5,69608,(e),2.5,-2.57,4.87E+05,-0.01
6016.604,46548,(o),5.5,63164,(e),4.5,-1.67,3.94E+06,-0.188
6017.705,44438,(o),3.5,61051,(e),3.5,-2.34,8.51E+05,-0.005
6020.55,41679,(o),2.5,58284,(e),2.5,-1.29,9.20E+06,0.153
6021.902,54193,(o),5.5,70794,(e),5.5,-1.12,1.41E+07,0.052
